0.5	2.72788e23	1.7e22	1.7e22
0.625	2.65978e23	1.7e22	1.7e22
0.75	2.67775e23	1.7e22	1.7e22
0.875	3.18924e23	1.7e22	1.7e22
1.0	3.23903e23	1.7e22	1.7e22
1.125	3.69966e23	1.7e22	1.7e22
1.25	3.93780e23	1.7e22	1.7e22
1.375	4.47321e23	1.7e22	1.7e22
1.5	5.54486e23	1.7e22	1.7e22
1.625	5.27120e23	1.7e22	1.7e22
1.75	5.85910e23	1.7e22	1.7e22
1.875	6.65879e23	1.7e22	1.7e22
2.0	8.10060e23	1.7e22	1.7e22
2.125	9.08088e23	1.7e22	1.7e22
2.25	1.11305e24	1.7e22	1.7e22
2.375	1.31718e24	1.7e22	1.7e22
2.5	1.42024e24	1.7e22	1.7e22

