0.5	8.33902e23	1.7e22	1.7e22
0.625	8.26143e23	1.7e22	1.7e22
0.75	8.39396e23	1.7e22	1.7e22
0.875	8.68403e23	1.7e22	1.7e22
1.125	9.95940e23	1.7e22	1.7e22
1.25	1.03253e24	1.7e22	1.7e22
1.375	1.02231e24	1.7e22	1.7e22
1.5	1.52490e24	1.6e22	1.6e22
1.625	1.12063e24	1.7e22	1.7e22
1.75	1.41976e24	1.7e22	1.7e22
1.875	1.69764e24	1.7e22	1.7e22
2.0	1.86339e24	1.6e22	1.7e22
2.125	2.03413e24	1.7e22	1.7e22
2.25	1.67785e24	1.7e22	1.7e22
2.375	2.00742e24	1.7e22	1.7e22
2.5	2.41590e24	1.7e22	1.7e22
2.625	2.92708e24	1.7e22	1.7e22
2.75	4.00906e24	1.7e22	1.7e22
2.875	6.20436e24	1.8e22	1.8e22
3.0	2.66001e24	1.8e22	1.8e22
