0.625	2.65978e23	1.7e22	1.7e22
0.75	2.67775e23	1.7e22	1.7e22
0.875	3.18924e23	1.7e22	1.7e22
1.125	3.69966e23	1.7e22	1.7e22
1.25	3.9378e23	1.7e22	1.7e22
1.375	4.47321e23	1.7e22	1.7e22
1.5	5.54486e23	1.6e22	1.6e22
1.625	5.2712e23	1.7e22	1.7e22
1.75	5.8591e23	1.7e22	1.7e22
1.875	6.65879e23	1.7e22	1.7e22
2.0	8.10060e23	1.6e22	1.6e22
2.125	9.08088e23	1.7e22	1.7e22
2.25	1.11305e24	1.7e22	1.7e22
2.375	1.31718e24	1.7e22	1.7e22
2.5	1.42024e24	1.7e22	1.7e22
2.625	1.66644e24	1.7e22	1.7e22
2.75	1.94401e24	1.7e22	1.7e22
2.875	2.22309e24	1.7e22	1.7e22
3.0	2.49401e24	1.7e22	1.7e22
